Ukazatel;Území;Převažující ekonomická aktivita (osoby ve věku 18+);Roky;value
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2013;4.02987
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2014;3.55991
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2015;3.95841
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2016;3.8
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2017;3.5
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2018;3.4
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2019;3.46
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2020;3.672
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2021;3.5
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2022;3.4
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2023;3.1
Podíl osob pod hranicí příjmové chudoby;Česko;Pracující celkem;2024;3.6
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2013;44.54145
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2014;47.7975
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2015;48.72216
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2016;52.2
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2017;48.6
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2018;53.2
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2019;52.713
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2020;52.859
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2021;51.1
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2022;49.0
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2023;54.4
Podíl osob pod hranicí příjmové chudoby;Česko;Nezaměstnaní;2024;58.0
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2013;6.06503
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2014;6.89652
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2015;7.41759
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2016;8.1
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2017;10.8
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2018;14.2
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2019;16.737
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2020;14.866
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2021;10.5
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2022;16.7
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2023;14.5
Podíl osob pod hranicí příjmové chudoby;Česko;Důchodci;2024;8.6
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2013;11.88674
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2014;14.68895
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2015;14.01327
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2016;14.5
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2017;13.4
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2018;14.5
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2019;16.264
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2020;14.3
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2021;13.6
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2022;16.1
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2023;16.1
Podíl osob pod hranicí příjmové chudoby;Česko;Ostatní neaktivní;2024;18.1
