Území,Čtvrtletí,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,"Vývoz (v mil. Kč, FOB)",1189368.303906
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,"Dovoz (v mil. Kč, CIF)",1149444.028391
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,Bilance (v mil. Kč),39924.275515
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (v mil. Kč),2338812.332297
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,Vývoz (meziroční index),104.9824641243
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,Dovoz (meziroční index),105.8165725734
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (meziroční index),105.3907494546
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Vývoz (v mil. Kč, FOB)",14706.019909
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Dovoz (v mil. Kč, CIF)",18495.752464
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Bilance (v mil. Kč),-3789.732555
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (v mil. Kč),33201.772373
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Vývoz (meziroční index),104.0647585602
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Dovoz (meziroční index),116.664255591
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (meziroční index),110.7263356599
