Roky,ČR a kraje,Ukazatel,Pohlaví,Stupeň závislosti u příspěvku na péči,Věkové skupiny,value
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,Celkem,374127
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,0 - 17 let,33777
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,18 - 64 let,82071
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,65 - 74 let,53441
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,75 - 84 let,108791
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,85 - 94 let,86529
2024,Česko,Příjemci příspěvku na péči,Celkem,Celkem,95 a více let,9518
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,Celkem,101735
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,0 - 17 let,12199
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,18 - 64 let,21421
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,65 - 74 let,15618
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,75 - 84 let,31832
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,85 - 94 let,19647
2024,Česko,Příjemci příspěvku na péči,Celkem,I. stupeň závislosti,95 a více let,1018
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,Celkem,115336
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,0 - 17 let,9627
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,18 - 64 let,24627
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,65 - 74 let,17842
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,75 - 84 let,34439
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,85 - 94 let,26583
2024,Česko,Příjemci příspěvku na péči,Celkem,II. stupeň závislosti,95 a více let,2218
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,Celkem,98541
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,0 - 17 let,6795
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,18 - 64 let,21371
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,65 - 74 let,13794
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,75 - 84 let,27838
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,85 - 94 let,25263
2024,Česko,Příjemci příspěvku na péči,Celkem,III. stupeň závislosti,95 a více let,3480
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,Celkem,58515
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,0 - 17 let,5156
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,18 - 64 let,14652
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,65 - 74 let,6187
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,75 - 84 let,14682
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,85 - 94 let,15036
2024,Česko,Příjemci příspěvku na péči,Celkem,IV. stupeň závislosti,95 a více let,2802
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,Celkem,149592
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,0 - 17 let,21799
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,18 - 64 let,46869
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,65 - 74 let,26069
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,75 - 84 let,34420
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,85 - 94 let,18791
2024,Česko,Příjemci příspěvku na péči,Muži,Celkem,95 a více let,1644
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,Celkem,39214
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,0 - 17 let,7386
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,18 - 64 let,11916
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,65 - 74 let,6916
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,75 - 84 let,8443
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,85 - 94 let,4282
2024,Česko,Příjemci příspěvku na péči,Muži,I. stupeň závislosti,95 a více let,271
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,Celkem,46697
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,0 - 17 let,6391
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,18 - 64 let,13996
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,65 - 74 let,8733
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,75 - 84 let,11052
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,85 - 94 let,6088
2024,Česko,Příjemci příspěvku na péči,Muži,II. stupeň závislosti,95 a více let,437
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,Celkem,40868
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,0 - 17 let,4689
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,18 - 64 let,12353
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,65 - 74 let,7293
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,75 - 84 let,10210
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,85 - 94 let,5706
2024,Česko,Příjemci příspěvku na péči,Muži,III. stupeň závislosti,95 a více let,617
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,Celkem,22813
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,0 - 17 let,3333
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,18 - 64 let,8604
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,65 - 74 let,3127
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,75 - 84 let,4715
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,85 - 94 let,2715
2024,Česko,Příjemci příspěvku na péči,Muži,IV. stupeň závislosti,95 a více let,319
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,Celkem,224535
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,0 - 17 let,11978
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,18 - 64 let,35202
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,65 - 74 let,27372
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,75 - 84 let,74371
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,85 - 94 let,67738
2024,Česko,Příjemci příspěvku na péči,Ženy,Celkem,95 a více let,7874
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,Celkem,62521
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,0 - 17 let,4813
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,18 - 64 let,9505
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,65 - 74 let,8702
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,75 - 84 let,23389
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,85 - 94 let,15365
2024,Česko,Příjemci příspěvku na péči,Ženy,I. stupeň závislosti,95 a více let,747
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,Celkem,68639
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,0 - 17 let,3236
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,18 - 64 let,10631
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,65 - 74 let,9109
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,75 - 84 let,23387
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,85 - 94 let,20495
2024,Česko,Příjemci příspěvku na péči,Ženy,II. stupeň závislosti,95 a více let,1781
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,Celkem,57673
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,0 - 17 let,2106
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,18 - 64 let,9018
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,65 - 74 let,6501
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,75 - 84 let,17628
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,85 - 94 let,19557
2024,Česko,Příjemci příspěvku na péči,Ženy,III. stupeň závislosti,95 a více let,2863
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,Celkem,35702
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,0 - 17 let,1823
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,18 - 64 let,6048
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,65 - 74 let,3060
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,75 - 84 let,9967
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,85 - 94 let,12321
2024,Česko,Příjemci příspěvku na péči,Ženy,IV. stupeň závislosti,95 a více let,2483
