Ukazatel;Rok sčítání;Ekonomická aktivita;Pohlaví;Území;Odvětví ekonomické činnosti;value
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zaměstnaní celkem;5290071
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zemědělství, lesnictví, rybářství;167161
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Průmysl;1441816
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Stavebnictví;364113
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";589747
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Doprava a skladování;318954
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Ubytování, stravování a pohostinství;190065
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Vzdělávání;362219
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Zdravotní a sociální péče;408594
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Česká republika;Nezjištěno;41917
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zaměstnaní celkem;733840
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zemědělství, lesnictví, rybářství;5098
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Průmysl;71810
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Stavebnictví;43741
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";86917
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Doprava a skladování;41512
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Ubytování, stravování a pohostinství;33003
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Vzdělávání;51158
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Zdravotní a sociální péče;54227
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Hlavní město Praha;Nezjištěno;7866
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zaměstnaní celkem;726887
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zemědělství, lesnictví, rybářství;22526
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Průmysl;178482
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Stavebnictví;49419
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";91219
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Doprava a skladování;54638
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Ubytování, stravování a pohostinství;24545
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Vzdělávání;47594
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Zdravotní a sociální péče;51565
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Středočeský kraj;Nezjištěno;4909
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zaměstnaní celkem;314154
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zemědělství, lesnictví, rybářství;18118
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Průmysl;93405
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Stavebnictví;24295
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";34022
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Doprava a skladování;17523
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Ubytování, stravování a pohostinství;12527
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Vzdělávání;21407
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Zdravotní a sociální péče;23102
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Jihočeský kraj;Nezjištěno;2739
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zaměstnaní celkem;295810
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zemědělství, lesnictví, rybářství;12073
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Průmysl;95791
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Stavebnictví;18955
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";30980
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Doprava a skladování;20113
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Ubytování, stravování a pohostinství;9618
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Vzdělávání;18689
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Zdravotní a sociální péče;22333
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Plzeňský kraj;Nezjištěno;2186
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zaměstnaní celkem;130956
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Zemědělství, lesnictví, rybářství;3989
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Průmysl;38539
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;Stavebnictví;8625
Počet obyvatel (obvyklý pobyt);2021;Zaměstnaní;Celkem;Karlovarský kraj;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";14225
