"ČR, kraje, okresy",Ukazatel,Pohlaví,Nejvyšší ukončené vzdělání,Roky,value
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2024,306478.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2023,279227.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2022,271803.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2021,258173.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2020,291977.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2019,215532.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2018,231534.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2017,280620.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2016,381373.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2015,453118.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Celkem,2014,541914.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2023,10369.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2022,10009.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2021,9885.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2020,11049.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2019,9366.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2018,12271.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2017,11323.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2016,9604.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2015,8065.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Bez vzdělání a neúplné ,2014,3206.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2024,
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2023,78509.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2022,75297.0
Česko,Uchazeči o zaměstnání v evidenci ÚP - celkem,Celkem,Základní ,2021,68091.0
