Ukazatel,"ČR, kraje, okresy",Druh důchodu,Pohlaví,Roky,value
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2016,926010
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2017,937360
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2018,946004
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2019,953890
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2020,955838
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2021,948482
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2022,948007
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2023,955151
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Muži,2024,955674
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2016,1460422
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2017,1458157
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2018,1456115
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2019,1453153
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2020,1436866
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2021,1421344
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2022,1410848
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2023,1407009
Počet příjemců důchodu,Česko,Důchod plný starobní (včetně souběhu),Ženy,2024,1400779
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2016,1691
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2017,1805
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2018,1975
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2019,2271
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2020,2684
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2021,3208
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2022,3754
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2023,4402
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Muži,2024,5357
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2016,7259
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2017,6611
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2018,5986
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2019,5500
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2020,5091
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2021,4786
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2022,4576
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2023,4679
Počet příjemců důchodu,Česko,Důchod poměrný starobní (včetně souběhu),Ženy,2024,4989
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2016,101588
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2017,98651
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2018,95121
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2019,92260
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2020,89630
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2021,86987
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2022,84968
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2023,84160
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Muži,2024,83016
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2016,89249
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2017,86806
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2018,83987
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2019,81104
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2020,78349
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2021,75835
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2022,73820
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2023,72249
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),Ženy,2024,71931
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2016,36888
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2017,37159
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2018,37497
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2019,37682
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2020,37705
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2021,37630
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2022,37666
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2023,37537
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Muži,2024,38340
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2016,34143
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2017,35549
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2018,36613
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2019,37596
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2020,38921
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2021,39610
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2022,40146
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2023,40666
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),Ženy,2024,41524
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2016,79482
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2017,79378
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2018,79066
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2019,78889
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2020,78532
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2021,78117
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2022,78346
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2023,77596
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Muži,2024,78509
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2016,84438
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2017,86699
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2018,89203
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2019,91452
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2020,94502
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2021,96467
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2022,98567
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2023,99498
Počet příjemců důchodu,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),Ženy,2024,102303
