Území,Roky,Ukazatel,value
Česko,2024,"Vývoz (v mil. Kč, FOB)",4663189.076956
Česko,2024,"Dovoz (v mil. Kč, CIF)",4442700.143978
Česko,2024,Bilance (v mil. Kč),220488.932978
Česko,2024,Vývoz (meziroční index),104.9690195136
Česko,2024,Dovoz (meziroční index),102.8416928227
Česko,2023,"Vývoz (v mil. Kč, FOB)",4442443.207112
Česko,2023,"Dovoz (v mil. Kč, CIF)",4319940.699183
Česko,2023,Bilance (v mil. Kč),122502.507929
Česko,2023,Vývoz (meziroční index),100.7969446977
Česko,2023,Dovoz (meziroční index),93.6646853335
Česko,2022,"Vývoz (v mil. Kč, FOB)",4407319.309563
Česko,2022,"Dovoz (v mil. Kč, CIF)",4612133.894221
Česko,2022,Bilance (v mil. Kč),-204814.584658
Česko,2022,Vývoz (meziroční index),113.5501707041
Česko,2022,Dovoz (meziroční index),118.5458837997
Česko,2021,"Vývoz (v mil. Kč, FOB)",3881385.014424
Česko,2021,"Dovoz (v mil. Kč, CIF)",3890589.657261
Česko,2021,Bilance (v mil. Kč),-9204.642837
Česko,2021,Vývoz (meziroční index),113.1407234207
Česko,2021,Dovoz (meziroční index),119.6757789906
Česko,2020,"Vývoz (v mil. Kč, FOB)",3430581.754363
Česko,2020,"Dovoz (v mil. Kč, CIF)",3250941.577382
Česko,2020,Bilance (v mil. Kč),179640.176981
Česko,2020,Vývoz (meziroční index),92.9252924552
Česko,2020,Dovoz (meziroční index),91.6773488551
Česko,2019,"Vývoz (v mil. Kč, FOB)",3691763.204316
Česko,2019,"Dovoz (v mil. Kč, CIF)",3546068.486905
Česko,2019,Bilance (v mil. Kč),145694.717411
Česko,2019,Vývoz (meziroční index),102.0884439686
Česko,2019,Dovoz (meziroční index),100.8043226172
Česko,2018,"Vývoz (v mil. Kč, FOB)",3616240.056958
Česko,2018,"Dovoz (v mil. Kč, CIF)",3517774.233125
Česko,2018,Bilance (v mil. Kč),98465.823833
Česko,2018,Vývoz (meziroční index),102.9418083572
Česko,2018,Dovoz (meziroční index),105.026036361
Česko,2017,"Vývoz (v mil. Kč, FOB)",3512897.349161
Česko,2017,"Dovoz (v mil. Kč, CIF)",3349431.001235
Česko,2017,Bilance (v mil. Kč),163466.347926
Česko,2017,Vývoz (meziroční index),106.4802705296
Česko,2017,Dovoz (meziroční index),106.8245079237
Česko,2016,"Vývoz (v mil. Kč, FOB)",3299106.33368
Česko,2016,"Dovoz (v mil. Kč, CIF)",3135451.841844
Česko,2016,Bilance (v mil. Kč),163654.491836
Česko,2016,Vývoz (meziroční index),101.1074296542
Česko,2016,Dovoz (meziroční index),100.1103896329
Česko,2015,"Vývoz (v mil. Kč, FOB)",3262971.222752
Česko,2015,"Dovoz (v mil. Kč, CIF)",3131994.444675
Česko,2015,Bilance (v mil. Kč),130976.778077
Česko,2015,Vývoz (meziroční index),103.6
Česko,2015,Dovoz (meziroční index),104.3
Česko,2014,"Vývoz (v mil. Kč, FOB)",3149198.0
Česko,2014,"Dovoz (v mil. Kč, CIF)",3003189.0
Česko,2014,Bilance (v mil. Kč),146009.0
Česko,2014,Vývoz (meziroční index),113.0
Česko,2014,Dovoz (meziroční index),112.1
Česko,2013,"Vývoz (v mil. Kč, FOB)",2786230.0
Česko,2013,"Dovoz (v mil. Kč, CIF)",2679711.0
Česko,2013,Bilance (v mil. Kč),106518.0
Česko,2013,Vývoz (meziroční index),102.2
Česko,2013,Dovoz (meziroční index),100.7
Česko,2012,"Vývoz (v mil. Kč, FOB)",2725843.0
Česko,2012,"Dovoz (v mil. Kč, CIF)",2661432.0
Česko,2012,Bilance (v mil. Kč),64410.0
Česko,2012,Vývoz (meziroční index),106.0
