Rok,Pohlaví,"ČR, kraje",Ukazatel,value
2024,Celkem,Česko,Podíl obyvatel ve věku 0 - 14 let (%),15.49826298
2024,Celkem,Česko,Podíl obyvatel ve věku 15 - 64 let (%),63.82354828
2024,Celkem,Česko,Podíl obyvatel ve věku 65 a více let (%),20.67818873
2024,Celkem,Česko,Průměrný věk (roky),43.06147486
2024,Celkem,Česko,Věkový medián (roky),44.27603885
2024,Celkem,Česko,Index stáří,133.4226214
2024,Celkem,Česko,Index ekonomické závislosti,71.95902301
2024,Celkem,Česko,Index závislosti mladých,36.40101169
2024,Celkem,Česko,Index závislosti seniorů,35.55801132
2024,Celkem,Hlavní město Praha,Podíl obyvatel ve věku 0 - 14 let (%),15.40082124
2024,Celkem,Hlavní město Praha,Podíl obyvatel ve věku 15 - 64 let (%),66.18264801
2024,Celkem,Hlavní město Praha,Podíl obyvatel ve věku 65 a více let (%),18.41653075
2024,Celkem,Hlavní město Praha,Průměrný věk (roky),41.86489541
2024,Celkem,Hlavní město Praha,Věkový medián (roky),41.9006332
2024,Celkem,Hlavní město Praha,Index stáří,119.581485
2024,Celkem,Hlavní město Praha,Index ekonomické závislosti,64.7283693
2024,Celkem,Hlavní město Praha,Index závislosti mladých,34.39111852
2024,Celkem,Hlavní město Praha,Index závislosti seniorů,30.33725078
2024,Celkem,Středočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),17.16862807
2024,Celkem,Středočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),64.0537029
2024,Celkem,Středočeský kraj,Podíl obyvatel ve věku 65 a více let (%),18.77766903
2024,Celkem,Středočeský kraj,Průměrný věk (roky),41.77490375
2024,Celkem,Středočeský kraj,Věkový medián (roky),43.15383395
2024,Celkem,Středočeský kraj,Index stáří,109.3719834
2024,Celkem,Středočeský kraj,Index ekonomické závislosti,72.53607311
2024,Celkem,Středočeský kraj,Index závislosti mladých,40.13782034
2024,Celkem,Středočeský kraj,Index závislosti seniorů,32.39825277
2024,Celkem,Jihočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),15.36617439
2024,Celkem,Jihočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),62.82838891
2024,Celkem,Jihočeský kraj,Podíl obyvatel ve věku 65 a více let (%),21.8054367
2024,Celkem,Jihočeský kraj,Průměrný věk (roky),43.58911297
2024,Celkem,Jihočeský kraj,Věkový medián (roky),45.12775436
2024,Celkem,Jihočeský kraj,Index stáří,141.9054356
2024,Celkem,Jihočeský kraj,Index ekonomické závislosti,74.69933006
2024,Celkem,Jihočeský kraj,Index závislosti mladých,36.60537823
2024,Celkem,Jihočeský kraj,Index závislosti seniorů,38.09395183
2024,Celkem,Plzeňský kraj,Podíl obyvatel ve věku 0 - 14 let (%),14.96534557
2024,Celkem,Plzeňský kraj,Podíl obyvatel ve věku 15 - 64 let (%),64.33473253
2024,Celkem,Plzeňský kraj,Podíl obyvatel ve věku 65 a více let (%),20.69992191
2024,Celkem,Plzeňský kraj,Průměrný věk (roky),43.21338507
2024,Celkem,Plzeňský kraj,Věkový medián (roky),44.36201592
2024,Celkem,Plzeňský kraj,Index stáří,138.3190372
2024,Celkem,Plzeňský kraj,Index ekonomické závislosti,70.62858634
2024,Celkem,Plzeňský kraj,Index závislosti mladých,35.30860222
2024,Celkem,Plzeňský kraj,Index závislosti seniorů,35.31998412
2024,Celkem,Karlovarský kraj,Podíl obyvatel ve věku 0 - 14 let (%),14.19635396
2024,Celkem,Karlovarský kraj,Podíl obyvatel ve věku 15 - 64 let (%),64.2316547
2024,Celkem,Karlovarský kraj,Podíl obyvatel ve věku 65 a více let (%),21.57199134
2024,Celkem,Karlovarský kraj,Průměrný věk (roky),43.98634185
2024,Celkem,Karlovarský kraj,Věkový medián (roky),45.75947554
