Území;Ukazatel;Národnost;Rok sčítání;value
Česká republika;Počet obyvatel (obvyklý pobyt);Obyvatelstvo celkem;1980;10291927.0
Česká republika;Počet obyvatel (obvyklý pobyt);Obyvatelstvo celkem;1991;10302215.0
Česká republika;Počet obyvatel (obvyklý pobyt);Obyvatelstvo celkem;2001;10230060.0
Česká republika;Počet obyvatel (obvyklý pobyt);Obyvatelstvo celkem;2011;10436560.0
Česká republika;Počet obyvatel (obvyklý pobyt);Obyvatelstvo celkem;2021;10524167.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost česká;1980;9733925.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost česká;1991;8363768.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost česká;2001;9249777.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost česká;2011;6711624.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost česká;2021;6033014.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost moravská;1980;
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost moravská;1991;1362313.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost moravská;2001;380474.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost moravská;2011;521801.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost moravská;2021;359621.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slezská;1980;
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slezská;1991;44446.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slezská;2001;10878.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slezská;2011;12214.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slezská;2021;12451.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slovenská;1980;359370.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slovenská;1991;314877.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slovenská;2001;193190.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slovenská;2011;147152.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost slovenská;2021;96041.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost německá;1980;58211.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost německá;1991;48556.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost německá;2001;39106.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost německá;2011;18658.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost německá;2021;9128.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost polská;1980;66123.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost polská;1991;59383.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost polská;2001;51968.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost polská;2011;39096.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost polská;2021;26802.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost romská;1980;
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost romská;1991;32903.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost romská;2001;11746.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost romská;2011;5135.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost romská;2021;4458.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ruská;1980;5051.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ruská;1991;5062.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ruská;2001;12369.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ruská;2011;17872.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ruská;2021;25296.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ukrajinská;1980;10271.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ukrajinská;1991;8220.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ukrajinská;2001;22112.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ukrajinská;2011;53253.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost ukrajinská;2021;78068.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost vietnamská;1980;
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost vietnamská;1991;421.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost vietnamská;2001;17462.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost vietnamská;2011;29660.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost vietnamská;2021;31469.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost neuvedena;1980;21036.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost neuvedena;1991;22017.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost neuvedena;2001;172827.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost neuvedena;2011;2642666.0
Česká republika;Počet obyvatel (obvyklý pobyt);Národnost neuvedena;2021;3321058.0
