Území,Roky,Ukazatel,value
Česko,1785,Přirozený přírůstek/úbytek,30251.0
Česko,1785,Celkový přírůstek/úbytek,
Česko,1785,Přírůstek/úbytek stěhováním,
Česko,1785,Počet obyvatel k 1. 7.,4250000.0
Česko,1785,Živě narození,
Česko,1785,Zemřelí,153103.0
Česko,1785,Sňatky,38345.0
Česko,1785,Rozvody,
Česko,1785,Přistěhovalí,
Česko,1785,Vystěhovalí,
Česko,1786,Přirozený přírůstek/úbytek,62817.0
Česko,1786,Celkový přírůstek/úbytek,
Česko,1786,Přírůstek/úbytek stěhováním,
Česko,1786,Počet obyvatel k 1. 7.,4318000.0
Česko,1786,Živě narození,
Česko,1786,Zemřelí,131812.0
Česko,1786,Sňatky,41726.0
Česko,1786,Rozvody,
Česko,1786,Přistěhovalí,
Česko,1786,Vystěhovalí,
Česko,1787,Přirozený přírůstek/úbytek,74103.0
Česko,1787,Celkový přírůstek/úbytek,
Česko,1787,Přírůstek/úbytek stěhováním,
Česko,1787,Počet obyvatel k 1. 7.,4392000.0
Česko,1787,Živě narození,
Česko,1787,Zemřelí,128078.0
Česko,1787,Sňatky,41426.0
Česko,1787,Rozvody,
Česko,1787,Přistěhovalí,
Česko,1787,Vystěhovalí,
Česko,1788,Přirozený přírůstek/úbytek,47925.0
Česko,1788,Celkový přírůstek/úbytek,
Česko,1788,Přírůstek/úbytek stěhováním,
Česko,1788,Počet obyvatel k 1. 7.,4418000.0
Česko,1788,Živě narození,
Česko,1788,Zemřelí,117556.0
Česko,1788,Sňatky,28692.0
Česko,1788,Rozvody,
Česko,1788,Přistěhovalí,
Česko,1788,Vystěhovalí,
Česko,1789,Přirozený přírůstek/úbytek,53991.0
Česko,1789,Celkový přírůstek/úbytek,
Česko,1789,Přírůstek/úbytek stěhováním,
Česko,1789,Počet obyvatel k 1. 7.,4414000.0
Česko,1789,Živě narození,
Česko,1789,Zemřelí,131377.0
Česko,1789,Sňatky,36372.0
Česko,1789,Rozvody,
Česko,1789,Přistěhovalí,
Česko,1789,Vystěhovalí,
Česko,1790,Přirozený přírůstek/úbytek,45741.0
Česko,1790,Celkový přírůstek/úbytek,
Česko,1790,Přírůstek/úbytek stěhováním,
Česko,1790,Počet obyvatel k 1. 7.,4444000.0
Česko,1790,Živě narození,
Česko,1790,Zemřelí,152550.0
Česko,1790,Sňatky,35702.0
Česko,1790,Rozvody,
Česko,1790,Přistěhovalí,
Česko,1790,Vystěhovalí,
Česko,1791,Přirozený přírůstek/úbytek,26548.0
Česko,1791,Celkový přírůstek/úbytek,
