Ukazatel;ČR a kraje;Odvětví ekonomické činnosti;Roky;value
Zaměstnaní (tis. osob);Česko;Celkem;1993;4873.54198795002
Zaměstnaní (tis. osob);Česko;Celkem;1994;4926.76648345
Zaměstnaní (tis. osob);Česko;Celkem;1995;4962.57802977494
Zaměstnaní (tis. osob);Česko;Celkem;1996;4971.99141295001
Zaměstnaní (tis. osob);Česko;Celkem;1997;4936.52549404997
Zaměstnaní (tis. osob);Česko;Celkem;1998;4865.73666342501
Zaměstnaní (tis. osob);Česko;Celkem;1999;4764.099031025
Zaměstnaní (tis. osob);Česko;Celkem;2000;4731.60295060916
Zaměstnaní (tis. osob);Česko;Celkem;2001;4727.69242236262
Zaměstnaní (tis. osob);Česko;Celkem;2002;4764.91473416681
Zaměstnaní (tis. osob);Česko;Celkem;2003;4733.18197658862
Zaměstnaní (tis. osob);Česko;Celkem;2004;4706.62698308102
Zaměstnaní (tis. osob);Česko;Celkem;2005;4764.01578891898
Zaměstnaní (tis. osob);Česko;Celkem;2006;4828.06495215397
Zaměstnaní (tis. osob);Česko;Celkem;2007;4921.99271230118
Zaměstnaní (tis. osob);Česko;Celkem;2008;5002.49725271045
Zaměstnaní (tis. osob);Česko;Celkem;2009;4934.26802131305
Zaměstnaní (tis. osob);Česko;Celkem;2010;4885.23938857002
Zaměstnaní (tis. osob);Česko;Celkem;2011;4872.406288355
Zaměstnaní (tis. osob);Česko;Celkem;2012;4890.0533046025
Zaměstnaní (tis. osob);Česko;Celkem;2013;4937.0837664125
Zaměstnaní (tis. osob);Česko;Celkem;2014;4974.2949243675
Zaměstnaní (tis. osob);Česko;Celkem;2015;5041.9025892225
Zaměstnaní (tis. osob);Česko;Celkem;2016;5138.577945525
Zaměstnaní (tis. osob);Česko;Celkem;2017;5221.604795425
Zaměstnaní (tis. osob);Česko;Celkem;2018;5293.7887506
Zaměstnaní (tis. osob);Česko;Celkem;2019;5303.096309425
Zaměstnaní (tis. osob);Česko;Celkem;2020;5234.9373771
Zaměstnaní (tis. osob);Česko;Celkem;2021;5213.368902525
Zaměstnaní (tis. osob);Česko;Celkem;2022;5173.4809151
Zaměstnaní (tis. osob);Česko;Celkem;2023;5060.8455475
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1993;358.491177699085
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1994;323.388981630464
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1995;312.208281298089
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1996;292.512564961041
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1997;272.578652736215
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1998;255.706067947388
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;1999;236.972650553482
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2000;230.925999368759
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2001;215.984570571837
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2002;218.409307701429
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2003;204.246859163602
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2004;193.853906952989
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2005;181.660610694083
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2006;174.249520489655
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2007;168.972155399449
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2008;158.787252016175
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2009;153.786690204475
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2010;151.24765661095
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2011;145.6210851825
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2012;149.155382555
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2013;149.6061708225
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2014;136.7167386175
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2015;147.4870691375
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2016;149.077452575
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2017;146.3325577
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2018;148.334597875
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2019;141.26180085
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2020;136.614994475
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2021;132.939412925
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2022;130.9192638
Zaměstnaní (tis. osob);Česko;A - Zemědělství, lesnictví, rybářství;2023;138.88421165
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1993;124.643869218594
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1994;98.5259581899518
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1995;96.5247648529248
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1996;89.3906048648959
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1997;88.1490841072495
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1998;85.0704890012971
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;1999;76.613706357405
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2000;69.9266750746635
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2001;66.6294729822043
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2002;60.6284960550511
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2003;52.8449928596701
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2004;58.1415908589095
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2005;48.897314663701
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2006;54.4745558592399
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2007;53.8416268057719
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2008;55.19375205815
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2009;52.1652115459
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2010;47.91762795915
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2011;46.06648452
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2012;43.3034382675
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2013;41.102447995
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2014;35.7281870325
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2015;37.8403462
Zaměstnaní (tis. osob);Česko;B - Těžba a dobývání;2016;38.894271575
