Správní obvody hl. města Prahy;Kategorie ubytovacího zařízení;Ukazatel;Rezidence;Roky;value
Praha 1;HUZ celkem;Počet hostů;Celkem;2024;
Praha 1;HUZ celkem;Počet hostů;Celkem;2023;2805867.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2022;2313261.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2021;903373.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2020;854661.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2019;2832299.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2018;2779343.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2017;2705239.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2016;2530459.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2015;2350742.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2014;2133976.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2013;1973878.0
Praha 1;HUZ celkem;Počet hostů;Celkem;2012;1883720.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2024;
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2023;353873.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2022;368482.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2021;242320.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2020;193246.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2019;195718.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2018;183905.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2017;190390.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2016;180838.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2015;156410.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2014;143415.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2013;150521.0
Praha 1;HUZ celkem;Počet hostů;Rezidenti;2012;144186.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2024;
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2023;2451994.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2022;1944779.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2021;661053.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2020;661415.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2019;2636581.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2018;2595438.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2017;2514849.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2016;2349621.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2015;2194332.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2014;1990561.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2013;1823357.0
Praha 1;HUZ celkem;Počet hostů;Nerezidenti;2012;1739534.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2024;
Praha 1;HUZ celkem;Počet přenocování;Celkem;2023;6765286.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2022;5517854.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2021;2090579.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2020;1955326.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2019;6921324.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2018;6797514.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2017;6644509.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2016;6214693.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2015;5900685.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2014;5339973.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2013;4998562.0
Praha 1;HUZ celkem;Počet přenocování;Celkem;2012;4811121.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2024;
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2023;589457.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2022;639443.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2021;446689.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2020;330306.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2019;316150.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2018;295833.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2017;316474.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2016;299935.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2015;260910.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2014;243759.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2013;256809.0
Praha 1;HUZ celkem;Počet přenocování;Rezidenti;2012;249377.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2024;
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2023;6175829.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2022;4878411.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2021;1643890.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2020;1625020.0
Praha 1;HUZ celkem;Počet přenocování;Nerezidenti;2019;6605174.0
