Území,Měsíce,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,"Vývoz (v mil. Kč, FOB)",337293.578883
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,"Dovoz (v mil. Kč, CIF)",329533.655403
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,Bilance (v mil. Kč),7759.92348
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (v mil. Kč),666827.234286
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,Vývoz (meziroční index),108.3314472276
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,Dovoz (meziroční index),107.4349722228
Česko,prosinec 2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (meziroční index),107.8865637089
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Vývoz (v mil. Kč, FOB)",4264.723963
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Dovoz (v mil. Kč, CIF)",6037.25466
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Bilance (v mil. Kč),-1772.530697
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (v mil. Kč),10301.978623
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Vývoz (meziroční index),104.4091633223
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Dovoz (meziroční index),113.5657789375
Česko,prosinec 2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (meziroční index),109.5872132482
Česko,prosinec 2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Vývoz (v mil. Kč, FOB)",700.390757
