ČR a kraje,Ukazatel,Pohlaví,Roky,Postavení v zaměstnání,value
Česko,Zaměstnaní (tis. osob),Celkem,2024,Celkem,5192.4172583
Česko,Zaměstnaní (tis. osob),Celkem,2024,"Zaměstnanci, členové produkčních družstev",4367.3244
Česko,Zaměstnaní (tis. osob),Celkem,2024,Zaměstnavatelé,115.34256203
Česko,Zaměstnaní (tis. osob),Celkem,2024,Osoby pracující na vlastní účet,697.10442482
Česko,Zaměstnaní (tis. osob),Celkem,2024,Pomáhající rodinní příslušníci,10.260017475
Česko,Zaměstnaní (tis. osob),Celkem,2024,Nezjištěno,2.3858539898
Česko,Zaměstnaní (tis. osob),Celkem,2023,Celkem,5060.8455475
Česko,Zaměstnaní (tis. osob),Celkem,2023,"Zaměstnanci, členové produkčních družstev",4224.6217561
Česko,Zaměstnaní (tis. osob),Celkem,2023,Zaměstnavatelé,120.61687632
Česko,Zaměstnaní (tis. osob),Celkem,2023,Osoby pracující na vlastní účet,703.83581725
Česko,Zaměstnaní (tis. osob),Celkem,2023,Pomáhající rodinní příslušníci,9.7782954382
Česko,Zaměstnaní (tis. osob),Celkem,2023,Nezjištěno,1.992802402
Česko,Zaměstnaní (tis. osob),Celkem,2022,Celkem,5173.4809151
Česko,Zaměstnaní (tis. osob),Celkem,2022,"Zaměstnanci, členové produkčních družstev",4346.934179775
Česko,Zaměstnaní (tis. osob),Celkem,2022,Zaměstnavatelé,128.3409275
Česko,Zaměstnaní (tis. osob),Celkem,2022,Osoby pracující na vlastní účet,673.932686175
Česko,Zaměstnaní (tis. osob),Celkem,2022,Pomáhající rodinní příslušníci,24.27312165
Česko,Zaměstnaní (tis. osob),Celkem,2022,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2021,Celkem,5213.368902525
Česko,Zaměstnaní (tis. osob),Celkem,2021,"Zaměstnanci, členové produkčních družstev",4382.544115975
Česko,Zaměstnaní (tis. osob),Celkem,2021,Zaměstnavatelé,140.887329325
Česko,Zaměstnaní (tis. osob),Celkem,2021,Osoby pracující na vlastní účet,668.59683595
Česko,Zaměstnaní (tis. osob),Celkem,2021,Pomáhající rodinní příslušníci,21.340621275
Česko,Zaměstnaní (tis. osob),Celkem,2021,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2020,Celkem,5234.9373771
Česko,Zaměstnaní (tis. osob),Celkem,2020,"Zaměstnanci, členové produkčních družstev",4350.9324688
Česko,Zaměstnaní (tis. osob),Celkem,2020,Zaměstnavatelé,149.66710705
Česko,Zaměstnaní (tis. osob),Celkem,2020,Osoby pracující na vlastní účet,705.905276975
Česko,Zaměstnaní (tis. osob),Celkem,2020,Pomáhající rodinní příslušníci,28.432524275
Česko,Zaměstnaní (tis. osob),Celkem,2020,Nezjištěno,0.0
Česko,Zaměstnaní (tis. osob),Celkem,2019,Celkem,5303.096309425
Česko,Zaměstnaní (tis. osob),Celkem,2019,"Zaměstnanci, členové produkčních družstev",4412.075832825
Česko,Zaměstnaní (tis. osob),Celkem,2019,Zaměstnavatelé,160.59323325
Česko,Zaměstnaní (tis. osob),Celkem,2019,Osoby pracující na vlastní účet,704.1874879
Česko,Zaměstnaní (tis. osob),Celkem,2019,Pomáhající rodinní příslušníci,26.180375025
Česko,Zaměstnaní (tis. osob),Celkem,2019,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2018,Celkem,5293.7887506
Česko,Zaměstnaní (tis. osob),Celkem,2018,"Zaměstnanci, členové produkčních družstev",4396.3888942
Česko,Zaměstnaní (tis. osob),Celkem,2018,Zaměstnavatelé,165.532887575
Česko,Zaměstnaní (tis. osob),Celkem,2018,Osoby pracující na vlastní účet,705.63259765
Česko,Zaměstnaní (tis. osob),Celkem,2018,Pomáhající rodinní příslušníci,25.736854875
Česko,Zaměstnaní (tis. osob),Celkem,2018,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2017,Celkem,5221.604795425
Česko,Zaměstnaní (tis. osob),Celkem,2017,"Zaměstnanci, členové produkčních družstev",4327.55888192499
Česko,Zaměstnaní (tis. osob),Celkem,2017,Zaměstnavatelé,163.80347735
Česko,Zaměstnaní (tis. osob),Celkem,2017,Osoby pracující na vlastní účet,705.459365975
Česko,Zaměstnaní (tis. osob),Celkem,2017,Pomáhající rodinní příslušníci,24.68081645
Česko,Zaměstnaní (tis. osob),Celkem,2017,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2016,Celkem,5138.577945525
Česko,Zaměstnaní (tis. osob),Celkem,2016,"Zaměstnanci, členové produkčních družstev",4256.754675675
Česko,Zaměstnaní (tis. osob),Celkem,2016,Zaměstnavatelé,161.3285897
Česko,Zaměstnaní (tis. osob),Celkem,2016,Osoby pracující na vlastní účet,693.368807725
Česko,Zaměstnaní (tis. osob),Celkem,2016,Pomáhající rodinní příslušníci,27.050748125
Česko,Zaměstnaní (tis. osob),Celkem,2016,Nezjištěno,
Česko,Zaměstnaní (tis. osob),Celkem,2015,Celkem,5041.9025892225
Česko,Zaměstnaní (tis. osob),Celkem,2015,"Zaměstnanci, členové produkčních družstev",4167.7091175575
Česko,Zaměstnaní (tis. osob),Celkem,2015,Zaměstnavatelé,177.6669571725
Česko,Zaměstnaní (tis. osob),Celkem,2015,Osoby pracující na vlastní účet,666.16755289
