Území;CZ NACE;Ukazatel;Roky;value
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2008;24607.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2009;24963.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2010;24739.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2011;25044.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2012;25260.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2013;25518.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2014;25778.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2015;26211.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2016;26414.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2017;26357.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2018;26443.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2019;26364.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2020;26374.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2021;26511.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2022;26759.0
Česko;Sekce Q Zdravotní a sociální péče;Počet aktivních podniků;2023;
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2008;137873.714518658
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2009;140965.884189324
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2010;143589.231311341
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2011;145455.083263464
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2012;147819.218207304
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2013;151088.356824428
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2014;154341.243286562
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2015;157952.178642865
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2016;165538.418509113
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2017;169531.154106364
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2018;174218.28508139
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2019;178215.646050044
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2020;182133.283034231
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2021;191879.636511949
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2022;194516.503041432
Česko;Sekce Q Zdravotní a sociální péče;Počet zaměstnaných osob celkem ve fyzických osobách;2023;
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2008;110520.473026147
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2009;113076.509713262
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2010;115817.053628243
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2011;117490.056958537
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2012;119564.535128973
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2013;121172.855965678
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2014;123626.529669488
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2015;128291.394388856
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2016;134695.18686322
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2017;138867.702791265
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;142843.137762905
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2019;145891.081425568
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2020;147148.377720825
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2021;151448.050492968
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2022;156088.194788642
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2023;
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2008;102373.557792164
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2009;104972.614959718
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2010;109243.538670196
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2011;109554.842615032
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2012;112410.852337144
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2013;113850.516098116
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2014;116581.789048005
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2015;120718.318291884
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2016;126811.412980723
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2017;129622.473106464
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2018;133569.700919314
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2019;131742.016493677
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2020;135783.481319882
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2021;138491.998140713
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2022;141645.329307464
Česko;Sekce Q Zdravotní a sociální péče;Průměrný evidenční počet zaměstnanců přepočtený ;2023;
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2008;19445.565461331
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2009;20900.9828773603
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2010;21717.3303122643
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2011;22703.9167239015
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2012;23194.4442311796
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2013;22831.9441299941
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2014;23796.7709988633
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2015;24919.7314345007
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2016;25847.3005704196
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2017;27803.9291047484
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2018;30049.6670427196
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2019;32446.1060897321
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2020;35963.9537859724
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2021;39304.9122365916
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2022;38045.6898228206
Česko;Sekce Q Zdravotní a sociální péče;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);2023;
