Území,Roky,Ukazatel,Nejvyšší ukončené vzdělání,Pohlaví,value
Česko,2024,Obecná míra nezaměstnanosti (%),Základní ,Celkem,12.062031304
Česko,2024,Obecná míra nezaměstnanosti (%),Základní ,Ženy,12.785385997
Česko,2024,Obecná míra nezaměstnanosti (%),Základní ,Muži,11.383716035
Česko,2024,Obecná míra nezaměstnanosti (%),Střední bez maturity,Celkem,2.9311698256
Česko,2024,Obecná míra nezaměstnanosti (%),Střední bez maturity,Ženy,4.0823801472
Česko,2024,Obecná míra nezaměstnanosti (%),Střední bez maturity,Muži,2.3104370331
Česko,2024,Obecná míra nezaměstnanosti (%),Střední s maturitou,Celkem,1.9173510602
Česko,2024,Obecná míra nezaměstnanosti (%),Střední s maturitou,Ženy,2.2086398266
Česko,2024,Obecná míra nezaměstnanosti (%),Střední s maturitou,Muži,1.6323737808
Česko,2024,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Celkem,1.3917414395
Česko,2024,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Ženy,1.5726955362
Česko,2024,Obecná míra nezaměstnanosti (%),Vyšší a vysokoškolské,Muži,1.2020429689
