Roky,Ukazatel,Pohlaví,Území,Věkové skupiny,value
2024,Nezaměstnaní (tis. osob),Celkem,Česko,Celkem,138.77819279
2024,Nezaměstnaní (tis. osob),Celkem,Česko,15 až 24 let,27.040357443
2024,Nezaměstnaní (tis. osob),Celkem,Česko,25 až 29 let,15.746710372
2024,Nezaměstnaní (tis. osob),Celkem,Česko,30 až 34 let,14.708838517
2024,Nezaměstnaní (tis. osob),Celkem,Česko,35 až 44 let,31.310978387
2024,Nezaměstnaní (tis. osob),Celkem,Česko,45 až 54 let,29.310286923
2024,Nezaměstnaní (tis. osob),Celkem,Česko,55 a více let,20.661021146
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,Celkem,12.760366115
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,15 až 24 let,3.66903256
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,25 až 29 let,1.9059260875
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,30 až 34 let,1.6893936663
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,35 až 44 let,2.1069113155
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,45 až 54 let,2.2602391328
2024,Nezaměstnaní (tis. osob),Celkem,Hlavní město Praha,55 a více let,1.1288633528
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,Celkem,9.285878661
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,15 až 24 let,1.2610074203
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,25 až 29 let,0.6235771868
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,30 až 34 let,0.6712117343
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,35 až 44 let,2.5542893
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,45 až 54 let,2.7731935165
2024,Nezaměstnaní (tis. osob),Celkem,Středočeský kraj,55 a více let,1.4025995033
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,Celkem,9.1690926283
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,15 až 24 let,2.211388099
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,25 až 29 let,1.068152212
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,30 až 34 let,0.9115281033
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,35 až 44 let,2.234206792
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,45 až 54 let,2.1860560738
2024,Nezaměstnaní (tis. osob),Celkem,Jihočeský kraj,55 a více let,0.5577613483
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,Celkem,5.458634011
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,15 až 24 let,1.014503236
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,25 až 29 let,0.5732063108
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,30 až 34 let,0.7936749233
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,35 až 44 let,1.207668344
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,45 až 54 let,1.0547696148
2024,Nezaměstnaní (tis. osob),Celkem,Plzeňský kraj,55 a více let,0.8148115823
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,Celkem,6.1465823997
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,15 až 24 let,1.3781275407
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,25 až 29 let,1.0084629488
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,30 až 34 let,0.614905481
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,35 až 44 let,0.987814362
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,45 až 54 let,1.1863490555
2024,Nezaměstnaní (tis. osob),Celkem,Karlovarský kraj,55 a více let,0.9709230118
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,Celkem,15.66016019
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,15 až 24 let,3.1485491793
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,25 až 29 let,2.4208929545
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,30 až 34 let,0.8870219808
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,35 až 44 let,5.1729768033
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,45 až 54 let,1.6623251095
2024,Nezaměstnaní (tis. osob),Celkem,Ústecký kraj,55 a více let,2.3683941623
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,Celkem,6.718705128
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,15 až 24 let,1.6695881023
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,25 až 29 let,0.6161334863
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,30 až 34 let,0.6407294775
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,35 až 44 let,1.2961273337
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,45 až 54 let,1.0154711073
2024,Nezaměstnaní (tis. osob),Celkem,Liberecký kraj,55 a více let,1.480655621
2024,Nezaměstnaní (tis. osob),Celkem,Královéhradecký kraj,Celkem,9.2023975682
