Ukazatel;SO ORP;Příčiny smrti (pro SO ORP);Roky;value
Zemřelí;Aš;Zemřelí;2024;217.0
Zemřelí;Aš;Zemřelí;2023;209.0
Zemřelí;Aš;Zemřelí;2022;233.0
Zemřelí;Aš;Zemřelí;2021;297.0
Zemřelí;Aš;Zemřelí;2020;223.0
Zemřelí;Aš;Zemřelí;2019;196.0
Zemřelí;Aš;Zemřelí;2018;220.0
Zemřelí;Aš;Zemřelí;2017;211.0
Zemřelí;Aš;Zemřelí;2016;161.0
Zemřelí;Aš;Zemřelí;2015;179.0
Zemřelí;Aš;Zemřelí;2014;170.0
Zemřelí;Aš;Zemřelí;2013;184.0
Zemřelí;Aš;Zemřelí;2012;163.0
Zemřelí;Aš;II. Novotvary (C00-D48);2024;
Zemřelí;Aš;II. Novotvary (C00-D48);2023;41.0
Zemřelí;Aš;II. Novotvary (C00-D48);2022;61.0
Zemřelí;Aš;II. Novotvary (C00-D48);2021;45.0
Zemřelí;Aš;II. Novotvary (C00-D48);2020;60.0
Zemřelí;Aš;II. Novotvary (C00-D48);2019;48.0
Zemřelí;Aš;II. Novotvary (C00-D48);2018;66.0
Zemřelí;Aš;II. Novotvary (C00-D48);2017;56.0
Zemřelí;Aš;II. Novotvary (C00-D48);2016;49.0
Zemřelí;Aš;II. Novotvary (C00-D48);2015;48.0
Zemřelí;Aš;II. Novotvary (C00-D48);2014;45.0
Zemřelí;Aš;II. Novotvary (C00-D48);2013;48.0
Zemřelí;Aš;II. Novotvary (C00-D48);2012;48.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2024;
Zemřelí;Aš;zhoubné novotvary (C00-C97);2023;41.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2022;60.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2021;45.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2020;56.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2019;45.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2018;66.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2017;52.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2016;47.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2015;48.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2014;40.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2013;46.0
Zemřelí;Aš;zhoubné novotvary (C00-C97);2012;48.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2024;
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2023;6.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2022;8.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2021;8.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2020;7.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2019;9.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2018;10.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2017;6.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2016;4.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2015;5.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2014;6.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2013;7.0
Zemřelí;Aš;zhoubný novotvar tlustého střeva, konečníku a řiti (C18-C21);2012;5.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2024;
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2023;4.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2022;2.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2021;4.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2020;5.0
Zemřelí;Aš;zhoubný novotvar slinivky břišní (C25);2019;2.0
