Roky,"ČR, kraje",Ukazatel,Pohlaví,value
2024,Česko,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.49826298
2024,Česko,Podíl obyvatel ve věku 0 - 14 let (%),Muži,16.17735026
2024,Česko,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.84366744
2024,Česko,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,63.82354828
2024,Česko,Podíl obyvatel ve věku 15 - 64 let (%),Muži,66.04046742
2024,Česko,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,61.68658384
2024,Česko,Podíl obyvatel ve věku 65 a více let (%),Celkem,20.67818873
2024,Česko,Podíl obyvatel ve věku 65 a více let (%),Muži,17.78218232
2024,Česko,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.46974871
2024,Česko,Průměrný věk (roky),Celkem,43.06147486
2024,Česko,Průměrný věk (roky),Muži,41.61080367
2024,Česko,Průměrný věk (roky),Ženy,44.45982661
2024,Česko,Věkový medián (roky),Celkem,44.27603885
2024,Česko,Věkový medián (roky),Muži,42.82063953
2024,Česko,Věkový medián (roky),Ženy,45.66620224
2024,Hlavní město Praha,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.40082124
2024,Hlavní město Praha,Podíl obyvatel ve věku 0 - 14 let (%),Muži,16.20968193
2024,Hlavní město Praha,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.63647773
2024,Hlavní město Praha,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,66.18264801
2024,Hlavní město Praha,Podíl obyvatel ve věku 15 - 64 let (%),Muži,68.24601494
2024,Hlavní město Praha,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,64.23284237
2024,Hlavní město Praha,Podíl obyvatel ve věku 65 a více let (%),Celkem,18.41653075
2024,Hlavní město Praha,Podíl obyvatel ve věku 65 a více let (%),Muži,15.54430313
2024,Hlavní město Praha,Podíl obyvatel ve věku 65 a více let (%),Ženy,21.13067991
2024,Hlavní město Praha,Průměrný věk (roky),Celkem,41.86489541
2024,Hlavní město Praha,Průměrný věk (roky),Muži,40.35619778
2024,Hlavní město Praha,Průměrný věk (roky),Ženy,43.29055902
2024,Hlavní město Praha,Věkový medián (roky),Celkem,41.9006332
2024,Hlavní město Praha,Věkový medián (roky),Muži,40.56522906
2024,Hlavní město Praha,Věkový medián (roky),Ženy,43.20846252
2024,Středočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,17.16862807
2024,Středočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,17.87128369
2024,Středočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,16.4891569
2024,Středočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,64.0537029
2024,Středočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.73535328
2024,Středočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,62.42753939
2024,Středočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,18.77766903
2024,Středočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,16.39336302
2024,Středočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,21.08330371
2024,Středočeský kraj,Průměrný věk (roky),Celkem,41.77490375
2024,Středočeský kraj,Průměrný věk (roky),Muži,40.53633135
2024,Středočeský kraj,Průměrný věk (roky),Ženy,42.97260885
2024,Středočeský kraj,Věkový medián (roky),Celkem,43.15383395
2024,Středočeský kraj,Věkový medián (roky),Muži,42.06759517
2024,Středočeský kraj,Věkový medián (roky),Ženy,44.19232086
2024,Jihočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.36617439
2024,Jihočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.99514292
2024,Jihočeský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.75471208
2024,Jihočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,62.82838891
2024,Jihočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,64.73397846
2024,Jihočeský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.97583803
2024,Jihočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.8054367
2024,Jihočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,19.27087862
2024,Jihočeský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,24.26944989
2024,Jihočeský kraj,Průměrný věk (roky),Celkem,43.58911297
2024,Jihočeský kraj,Průměrný věk (roky),Muži,42.26170793
2024,Jihočeský kraj,Průměrný věk (roky),Ženy,44.87957207
2024,Jihočeský kraj,Věkový medián (roky),Celkem,45.12775436
2024,Jihočeský kraj,Věkový medián (roky),Muži,43.76339581
2024,Jihočeský kraj,Věkový medián (roky),Ženy,46.41952729
2024,Plzeňský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,14.96534557
2024,Plzeňský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.54021666
2024,Plzeňský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.40823218
2024,Plzeňský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,64.33473253
2024,Plzeňský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,66.24054956
2024,Plzeňský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,62.48778597
2024,Plzeňský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,20.69992191
2024,Plzeňský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.21923378
2024,Plzeňský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.10398185
2024,Plzeňský kraj,Průměrný věk (roky),Celkem,43.21338507
2024,Plzeňský kraj,Průměrný věk (roky),Muži,41.92561463
2024,Plzeňský kraj,Průměrný věk (roky),Ženy,44.46137643
2024,Plzeňský kraj,Věkový medián (roky),Celkem,44.36201592
2024,Plzeňský kraj,Věkový medián (roky),Muži,43.02207187
2024,Plzeňský kraj,Věkový medián (roky),Ženy,45.64832339
2024,Karlovarský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,14.19635396
2024,Karlovarský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,14.8822472
2024,Karlovarský kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,13.54359432
2024,Karlovarský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,64.2316547
2024,Karlovarský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,66.38432108
2024,Karlovarský kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,62.18297765
2024,Karlovarský kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.57199134
2024,Karlovarský kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.73343172
2024,Karlovarský kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,24.27342804
2024,Karlovarský kraj,Průměrný věk (roky),Celkem,43.98634185
2024,Karlovarský kraj,Průměrný věk (roky),Muži,42.53868671
2024,Karlovarský kraj,Průměrný věk (roky),Ženy,45.36406481
2024,Karlovarský kraj,Věkový medián (roky),Celkem,45.75947554
2024,Karlovarský kraj,Věkový medián (roky),Muži,44.21809571
2024,Karlovarský kraj,Věkový medián (roky),Ženy,47.17069177
2024,Ústecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.12588513
2024,Ústecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.74042459
2024,Ústecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.5289286
2024,Ústecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,64.10801676
2024,Ústecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,66.51393882
2024,Ústecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,61.7709319
2024,Ústecký kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,20.76609811
2024,Ústecký kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,17.74563659
2024,Ústecký kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.7001395
2024,Ústecký kraj,Průměrný věk (roky),Celkem,43.17664742
2024,Ústecký kraj,Průměrný věk (roky),Muži,41.7471555
2024,Ústecký kraj,Průměrný věk (roky),Ženy,44.56523934
2024,Ústecký kraj,Věkový medián (roky),Celkem,44.81814225
2024,Ústecký kraj,Věkový medián (roky),Muži,43.28879986
2024,Ústecký kraj,Věkový medián (roky),Ženy,46.24352651
2024,Liberecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.43446631
2024,Liberecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,16.1328325
2024,Liberecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.76081208
2024,Liberecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,63.55257245
2024,Liberecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.7941359
2024,Liberecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,61.39032759
2024,Liberecký kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.01296124
2024,Liberecký kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.0730316
2024,Liberecký kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.84886033
2024,Liberecký kraj,Průměrný věk (roky),Celkem,43.18244515
2024,Liberecký kraj,Průměrný věk (roky),Muži,41.72100689
2024,Liberecký kraj,Průměrný věk (roky),Ženy,44.59216985
2024,Liberecký kraj,Věkový medián (roky),Celkem,44.61360544
2024,Liberecký kraj,Věkový medián (roky),Muži,43.12923995
2024,Liberecký kraj,Věkový medián (roky),Ženy,46.03007012
2024,Královéhradecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.05406324
2024,Královéhradecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.72782576
2024,Královéhradecký kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.40220276
2024,Královéhradecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,62.27732977
2024,Královéhradecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,64.58888901
2024,Královéhradecký kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.04091253
2024,Královéhradecký kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,22.66860698
2024,Královéhradecký kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,19.68328523
2024,Královéhradecký kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,25.5568847
2024,Královéhradecký kraj,Průměrný věk (roky),Celkem,43.97960779
2024,Královéhradecký kraj,Průměrný věk (roky),Muži,42.47708957
2024,Královéhradecký kraj,Průměrný věk (roky),Ženy,45.43328355
2024,Královéhradecký kraj,Věkový medián (roky),Celkem,45.57089552
2024,Královéhradecký kraj,Věkový medián (roky),Muži,44.0618977
2024,Královéhradecký kraj,Věkový medián (roky),Ženy,47.02874972
2024,Pardubický kraj,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.65275256
2024,Pardubický kraj,Podíl obyvatel ve věku 0 - 14 let (%),Muži,16.23475348
2024,Pardubický kraj,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,15.08290055
2024,Pardubický kraj,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,63.15543415
2024,Pardubický kraj,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.40198219
2024,Pardubický kraj,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.9557814
2024,Pardubický kraj,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.19181328
2024,Pardubický kraj,Podíl obyvatel ve věku 65 a více let (%),Muži,18.36326433
2024,Pardubický kraj,Podíl obyvatel ve věku 65 a více let (%),Ženy,23.96131805
2024,Pardubický kraj,Průměrný věk (roky),Celkem,43.15990096
2024,Pardubický kraj,Průměrný věk (roky),Muži,41.73398378
2024,Pardubický kraj,Průměrný věk (roky),Ženy,44.55605301
2024,Pardubický kraj,Věkový medián (roky),Celkem,44.51669722
2024,Pardubický kraj,Věkový medián (roky),Muži,42.97811493
2024,Pardubický kraj,Věkový medián (roky),Ženy,45.97007422
2024,Kraj Vysočina,Podíl obyvatel ve věku 0 - 14 let (%),Celkem,15.44778585
2024,Kraj Vysočina,Podíl obyvatel ve věku 0 - 14 let (%),Muži,15.94146554
2024,Kraj Vysočina,Podíl obyvatel ve věku 0 - 14 let (%),Ženy,14.96020059
2024,Kraj Vysočina,Podíl obyvatel ve věku 15 - 64 let (%),Celkem,62.86059805
2024,Kraj Vysočina,Podíl obyvatel ve věku 15 - 64 let (%),Muži,65.07293481
2024,Kraj Vysočina,Podíl obyvatel ve věku 15 - 64 let (%),Ženy,60.67557242
2024,Kraj Vysočina,Podíl obyvatel ve věku 65 a více let (%),Celkem,21.6916161
2024,Kraj Vysočina,Podíl obyvatel ve věku 65 a více let (%),Muži,18.98559965
2024,Kraj Vysočina,Podíl obyvatel ve věku 65 a více let (%),Ženy,24.36422699
