Roky;Ukazatel;Území;Druh soc. dávek;value
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;Výdaje celkem;45450957.90426
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;Nemocenské;31681192.2763
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";2460201.57595
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";10502228.67501
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;Vyrovnávací příspěvek v těhotenství a mateřství;6880.801
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;Dávka otcovské poporodní péče;580438.962
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Česko;Dlouhodobé ošetřovné;220015.614
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;Výdaje celkem;9177713.28255
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;Nemocenské;5082779.48933
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";403501.378
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";3519607.62622
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;Vyrovnávací příspěvek v těhotenství a mateřství;1726.155
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;Dávka otcovské poporodní péče;140573.843
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Hlavní město Praha;Dlouhodobé ošetřovné;29524.791
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;Výdaje celkem;4643095.46107
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;Nemocenské;3292025.12007
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";274738.433
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";994687.412
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;1072.027
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;Dávka otcovské poporodní péče;63248.909
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Středočeský kraj;Dlouhodobé ošetřovné;17323.56
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;Výdaje celkem;2407481.20115
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;Nemocenské;1764822.97465
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";141815.4285
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";455282.469
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;98.359
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;Dávka otcovské poporodní péče;27905.728
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Jihočeský kraj;Dlouhodobé ošetřovné;17556.242
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;Výdaje celkem;2417889.97929
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;Nemocenské;1756800.93336
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";147162.208
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;"Peněžitá pomoc v mateřství (tzv. ""mateřská"")";472678.60393
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;Vyrovnávací příspěvek v těhotenství a mateřství;120.603
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;Dávka otcovské poporodní péče;30017.711
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Plzeňský kraj;Dlouhodobé ošetřovné;11109.92
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;Výdaje celkem;773753.04215
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;Nemocenské;592305.51515
2023;Hodnota vyplacených dávek nemocenského pojištění (tis. Kč);Karlovarský kraj;"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")";44907.824
