Ukazatel;Činnost;Území;Nejvyšší ukončené vzdělání;2Q čtvrtletí;value
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2015;30.42329295
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2016;30.9
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2017;34.7
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2018;36.9
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2019;38.4
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2020;41.44
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2021;47.328
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2022;47.98
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2023;51.7897
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Základní;2024;
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2015;62.62475387
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2016;65.9
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2017;68.2
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2018;71.9
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2019;71.3
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2020;70.92
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2021;72.301
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2022;75.338
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2023;76.9756
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední bez maturity;2024;
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2015;84.22845834
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2016;86.7
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2017;86.1
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2018;87.2
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2019;88.2
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2020;88.04
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2021;88.781
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2022;89.311
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2023;90.8636
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Střední s maturitou;2024;
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2015;94.13719212
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2016;94.1
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2017;95.0
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2018;95.9
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2019;95.1
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2020;95.78
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2021;95.917
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2022;96.555
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2023;96.583
Používání internetu (podíl osob) - věk 25+;Používání internetu;Česko;Vysokoškolské;2024;
