Ukazatel;Území;Typ domácnosti;Roky;value
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2013;7.08403
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2014;7.28297
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2015;7.94949
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2016;7.9
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2017;8.7
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2018;9.7
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2019;10.822
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2020;9.735
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2021;7.9
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2022;10.4
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2023;9.3
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti bez závislých dětí;2024;6.8
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2013;10.05092
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2014;12.11741
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2015;11.53583
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2016;11.5
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2017;9.6
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2018;9.5
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2019;9.502
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2020;9.261
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2021;9.2
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2022;10.0
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2023;10.3
Podíl osob pod hranicí příjmové chudoby;Česko;Domácnosti se závislými dětmi;2024;12.0
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2013;14.67686
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2014;15.361
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2015;19.00311
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2016;20.2
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2017;24.3
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2018;27.8
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2019;29.247
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2020;26.795
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2021;21.9
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2022;27.1
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2023;23.4
Podíl osob pod hranicí příjmové chudoby;Česko;Jednotlivci;2024;15.9
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2013;4.5
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2014;5.8
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2015;5.5
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2016;5.1
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2017;4.8
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2018;5.0
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2019;5.4
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2020;5.1
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2021;3.6
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2022;4.2
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2023;4.1
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí;2024;3.3
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2013;5.25296
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2014;2.97138
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2015;2.56236
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2016;1.7
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2017;1.7
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2018;1.4
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2019;1.836
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2020;0.797
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2021;0.6
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2022;1.8
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2023;2.3
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých;2024;2.6
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2013;27.8033
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2014;35.85218
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2015;34.35659
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2016;37.0
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2017;31.4
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2018;30.1
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2019;30.816
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2020;32.385
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2021;32.4
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2022;30.8
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2023;33.0
Podíl osob pod hranicí příjmové chudoby;Česko;1 dospělý, alespoň 1 závislé dítě;2024;36.3
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2013;8.5017
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2014;8.04783
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2015;6.23218
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2016;6.4
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2017;7.0
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2018;8.5
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2019;7.14
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2020;5.517
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2021;3.8
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2022;6.3
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2023;4.4
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 1 závislé dítě;2024;5.5
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2013;6.42657
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2014;8.30622
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2015;9.14701
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2016;9.3
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2017;6.2
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2018;5.8
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2019;6.134
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2020;6.837
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2021;7.0
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2022;6.9
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2023;5.3
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 2 závislé děti;2024;7.0
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2013;13.83343
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2014;23.97237
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2015;25.10505
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2016;21.0
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2017;17.4
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2018;15.7
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2019;17.606
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2020;14.589
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2021;18.6
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2022;17.6
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2023;21.7
Podíl osob pod hranicí příjmové chudoby;Česko;2 dospělí, 3 a více závislých dětí;2024;23.6
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2013;10.01622
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2014;6.9361
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2015;5.12162
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2016;5.7
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2017;5.6
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2018;5.9
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2019;5.027
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2020;4.767
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2021;3.5
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2022;5.3
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2023;10.0
Podíl osob pod hranicí příjmové chudoby;Česko;3 a více dospělých, alespoň 1 závislé dítě;2024;10.8
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2013;12.07586
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2014;11.74349
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2015;15.25168
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2016;15.5
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2017;16.2
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2018;17.5
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2019;17.95
Podíl osob pod hranicí příjmové chudoby;Česko;Muži;2020;17.122
