Ukazatel;ČR a kraje;Klasifikace zaměstnání (CZISCO);Roky;value
Zaměstnaní (tis. osob);Česko;Celkem;1993;4873.54198795002
Zaměstnaní (tis. osob);Česko;Celkem;1994;4926.76648345
Zaměstnaní (tis. osob);Česko;Celkem;1995;4962.57802977494
Zaměstnaní (tis. osob);Česko;Celkem;1996;4971.99141295001
Zaměstnaní (tis. osob);Česko;Celkem;1997;4936.52549404997
Zaměstnaní (tis. osob);Česko;Celkem;1998;4865.73666342501
Zaměstnaní (tis. osob);Česko;Celkem;1999;4764.099031025
Zaměstnaní (tis. osob);Česko;Celkem;2000;4731.60295060916
Zaměstnaní (tis. osob);Česko;Celkem;2001;4727.69242236262
Zaměstnaní (tis. osob);Česko;Celkem;2002;4764.91473416681
Zaměstnaní (tis. osob);Česko;Celkem;2003;4733.18197658862
Zaměstnaní (tis. osob);Česko;Celkem;2004;4706.62698308102
Zaměstnaní (tis. osob);Česko;Celkem;2005;4764.01578891898
Zaměstnaní (tis. osob);Česko;Celkem;2006;4828.06495215397
Zaměstnaní (tis. osob);Česko;Celkem;2007;4921.99271230118
Zaměstnaní (tis. osob);Česko;Celkem;2008;5002.49725271045
Zaměstnaní (tis. osob);Česko;Celkem;2009;4934.26802131305
Zaměstnaní (tis. osob);Česko;Celkem;2010;4885.23938857002
Zaměstnaní (tis. osob);Česko;Celkem;2011;4872.406288355
Zaměstnaní (tis. osob);Česko;Celkem;2012;4890.0533046025
Zaměstnaní (tis. osob);Česko;Celkem;2013;4937.0837664125
Zaměstnaní (tis. osob);Česko;Celkem;2014;4974.2949243675
Zaměstnaní (tis. osob);Česko;Celkem;2015;5041.9025892225
Zaměstnaní (tis. osob);Česko;Celkem;2016;5138.577945525
Zaměstnaní (tis. osob);Česko;Celkem;2017;5221.604795425
Zaměstnaní (tis. osob);Česko;Celkem;2018;5293.7887506
Zaměstnaní (tis. osob);Česko;Celkem;2019;5303.096309425
Zaměstnaní (tis. osob);Česko;Celkem;2020;5234.9373771
Zaměstnaní (tis. osob);Česko;Celkem;2021;5213.368902525
Zaměstnaní (tis. osob);Česko;Celkem;2022;5173.4809151
Zaměstnaní (tis. osob);Česko;Celkem;2023;5060.8455475
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1993;191.946922605551
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1994;220.415015414575
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1995;258.130916893541
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1996;276.539493972903
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1997;273.318225510933
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1998;270.296479180309
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;1999;261.453187167637
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2000;246.80158249639
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2001;255.065231508154
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2002;257.14453894474
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2003;244.627852211879
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2004;249.855134443188
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2005;253.538398363228
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2006;270.515566946326
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2007;279.273538442
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2008;285.529693014202
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2009;257.598827795562
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2010;261.1797973263
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2011;230.75584427
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2012;250.6290849175
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2013;271.3075194825
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2014;256.552071535
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2015;274.297072755
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2016;269.135659575
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2017;250.210491475
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2018;244.995727275
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2019;237.612233925
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2020;224.30769275
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2021;263.7607121
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2022;265.843618325
Zaměstnaní (tis. osob);Česko;Zákonodárci a řídící pracovníci;2023;262.12084733
Zaměstnaní (tis. osob);Česko;Specialisté;1993;499.560148059428
Zaměstnaní (tis. osob);Česko;Specialisté;1994;486.708963835869
Zaměstnaní (tis. osob);Česko;Specialisté;1995;511.883921225849
Zaměstnaní (tis. osob);Česko;Specialisté;1996;509.581010775891
Zaměstnaní (tis. osob);Česko;Specialisté;1997;516.224784091438
Zaměstnaní (tis. osob);Česko;Specialisté;1998;506.805192633156
Zaměstnaní (tis. osob);Česko;Specialisté;1999;515.612815930049
Zaměstnaní (tis. osob);Česko;Specialisté;2000;535.499706489405
Zaměstnaní (tis. osob);Česko;Specialisté;2001;540.099008907082
Zaměstnaní (tis. osob);Česko;Specialisté;2002;539.18865952433
Zaměstnaní (tis. osob);Česko;Specialisté;2003;535.146522830805
Zaměstnaní (tis. osob);Česko;Specialisté;2004;543.67144941347
Zaměstnaní (tis. osob);Česko;Specialisté;2005;561.462357807686
Zaměstnaní (tis. osob);Česko;Specialisté;2006;558.111679596939
Zaměstnaní (tis. osob);Česko;Specialisté;2007;580.951745530203
Zaměstnaní (tis. osob);Česko;Specialisté;2008;591.009407113537
Zaměstnaní (tis. osob);Česko;Specialisté;2009;622.248043100462
Zaměstnaní (tis. osob);Česko;Specialisté;2010;518.471083045375
Zaměstnaní (tis. osob);Česko;Specialisté;2011;616.572492579999
Zaměstnaní (tis. osob);Česko;Specialisté;2012;675.8733045375
Zaměstnaní (tis. osob);Česko;Specialisté;2013;715.7313181575
Zaměstnaní (tis. osob);Česko;Specialisté;2014;745.994557462501
Zaměstnaní (tis. osob);Česko;Specialisté;2015;763.626368712499
Zaměstnaní (tis. osob);Česko;Specialisté;2016;786.5580681
Zaměstnaní (tis. osob);Česko;Specialisté;2017;802.546409450001
Zaměstnaní (tis. osob);Česko;Specialisté;2018;851.46396855
Zaměstnaní (tis. osob);Česko;Specialisté;2019;854.696062175
Zaměstnaní (tis. osob);Česko;Specialisté;2020;886.634172275
Zaměstnaní (tis. osob);Česko;Specialisté;2021;973.480107774999
Zaměstnaní (tis. osob);Česko;Specialisté;2022;957.351791625
Zaměstnaní (tis. osob);Česko;Specialisté;2023;997.48771616
