Území,Ukazatel,Druh  pojištění,Roky,value
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2018,5481.22
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2019,5902.525
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2020,5069.554
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2021,4513.268
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2022,5328.009
Česko,Předepsané přímé hrubé pojistné,Úrazové a zdravotní pojištění,2023,5432.773
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2018,24042.71
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2019,26061.709
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2020,27855.011
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2021,28694.873
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2022,30056.11
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti z provozu motorových vozidel,2023,31827.978
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2018,19858.121
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2019,21998.796
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2020,23775.776
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2021,25167.775
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2022,28771.518
Česko,Předepsané přímé hrubé pojistné,Ostatní druhy pojištění motorových vozidel,2023,32336.088
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2018,1004.529
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2019,1070.162
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2020,960.718
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2021,989.545
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2022,1247.776
Česko,Předepsané přímé hrubé pojistné,"Námořní, letecké a dopravní pojištění",2023,1465.98
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2018,22649.672
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2019,23870.871
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2020,24713.392
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2021,24434.91
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2022,28478.806
Česko,Předepsané přímé hrubé pojistné,Pojištění požáru a ostatních škod na majetku,2023,31986.696
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2018,10844.412
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2019,10064.372
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2020,10894.924
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2021,11324.083
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2022,12307.398
Česko,Předepsané přímé hrubé pojistné,Pojištění odpovědnosti,2023,11128.049
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2018,1256.041
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2019,1557.018
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2020,1526.049
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2021,1827.434
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2022,1717.495
Česko,Předepsané přímé hrubé pojistné,Pojištění úvěrů a záruk,2023,2390.608
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2018,4684.047
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2019,5456.151
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2020,4031.358
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2021,4875.985
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2022,5948.105
Česko,Předepsané přímé hrubé pojistné,"Pojištění pomoci, zákonných výdajů a ostatních pojištění pro případ finančních ztrát",2023,5130.879
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2018,8648.804
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2019,9207.259
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2020,9232.999
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2021,10385.298
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2022,11036.598
Česko,Předepsané přímé hrubé pojistné,Ostatní neživotní pojištění,2023,13657.555
