Ukazatel,Rok sčítání,Území,Typ domácnosti,value
Počet domácností tvořených jednou rodinou,2021,Česká republika,Domácnosti tvořené jednou rodinou,2773930
Počet domácností tvořených jednou rodinou,2021,Česká republika,Úplné rodiny celkem,2265340
Počet domácností tvořených jednou rodinou,2021,Česká republika,Manželské páry,1748068
Počet domácností tvořených jednou rodinou,2021,Česká republika,Faktická manželství,509535
Počet domácností tvořených jednou rodinou,2021,Česká republika,Registrovaná partnerství,1964
Počet domácností tvořených jednou rodinou,2021,Česká republika,Faktická partnerství,5773
Počet domácností tvořených jednou rodinou,2021,Česká republika,Neúplné rodiny celkem,508590
Počet domácností tvořených jednou rodinou,2021,Česká republika,Osamělý otec,77060
Počet domácností tvořených jednou rodinou,2021,Česká republika,Osamělá matka,431530
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Domácnosti tvořené jednou rodinou,323764
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Úplné rodiny celkem,260252
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Manželské páry,178820
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Faktická manželství,78896
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Registrovaná partnerství,542
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Faktická partnerství,1994
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Neúplné rodiny celkem,63512
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Osamělý otec,8940
Počet domácností tvořených jednou rodinou,2021,Hlavní město Praha,Osamělá matka,54572
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Domácnosti tvořené jednou rodinou,376494
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Úplné rodiny celkem,310388
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Manželské páry,238118
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Faktická manželství,71248
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Registrovaná partnerství,321
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Faktická partnerství,701
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Neúplné rodiny celkem,66106
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Osamělý otec,10919
Počet domácností tvořených jednou rodinou,2021,Středočeský kraj,Osamělá matka,55187
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Domácnosti tvořené jednou rodinou,169007
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Úplné rodiny celkem,138597
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Manželské páry,110200
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Faktická manželství,28123
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Registrovaná partnerství,78
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Faktická partnerství,196
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Neúplné rodiny celkem,30410
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Osamělý otec,4730
Počet domácností tvořených jednou rodinou,2021,Jihočeský kraj,Osamělá matka,25680
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Domácnosti tvořené jednou rodinou,155522
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Úplné rodiny celkem,128573
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Manželské páry,98421
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Faktická manželství,29805
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Registrovaná partnerství,102
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Faktická partnerství,245
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Neúplné rodiny celkem,26949
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Osamělý otec,4340
Počet domácností tvořených jednou rodinou,2021,Plzeňský kraj,Osamělá matka,22609
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Domácnosti tvořené jednou rodinou,72498
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Úplné rodiny celkem,57199
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Manželské páry,41944
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Faktická manželství,15094
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Registrovaná partnerství,46
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Faktická partnerství,115
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Neúplné rodiny celkem,15299
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Osamělý otec,2163
Počet domácností tvořených jednou rodinou,2021,Karlovarský kraj,Osamělá matka,13136
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Domácnosti tvořené jednou rodinou,207583
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Úplné rodiny celkem,163922
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Manželské páry,121069
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Faktická manželství,42303
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Registrovaná partnerství,143
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Faktická partnerství,407
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Neúplné rodiny celkem,43661
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Osamělý otec,6138
Počet domácností tvořených jednou rodinou,2021,Ústecký kraj,Osamělá matka,37523
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Domácnosti tvořené jednou rodinou,115005
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Úplné rodiny celkem,93141
Počet domácností tvořených jednou rodinou,2021,Liberecký kraj,Manželské páry,70194
